county,County.FIPS,id,abbr,state,perc_stud_debt,perc_stud_debt_nw,perc_stud_debt_wh,med_stud_debt,med_stud_debt_nw,med_stud_debt_wh,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_nw,perc_stud_debt_collect_STUD_wh,med_stud_debt_collect,med_stud_debt_collect_nw,med_stud_debt_collect_wh,med_mon_pmt,med_mon_pmt_nw,med_mon_pmt_wh,perc_no_bach,perc_no_bach_nw,perc_no_bach_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
Clay County,01027,01027,AL,Alabama,.1102362,NULL,.0806452,NULL,NULL,NULL,.1071429,n/a**,.1333333,NULL,NULL,NULL,NULL,NULL,NULL,.8983306,.9597701,.885866,.1971894,56739,38856,60774
Cleburne County,01029,01029,AL,Alabama,.0956522,NULL,.0960699,NULL,NULL,NULL,.1818182,n/a**,.1818182,NULL,NULL,NULL,NULL,NULL,NULL,.8632839,.8595744,.8635523,.0735708,54871,48266,55327
Coffee County,01031,01031,AL,Alabama,.1365314,NULL,.1370558,22294,NULL,22721,.0990991,n/a**,.1018519,NULL,NULL,NULL,154,NULL,154,.7658398,.8122324,.7494671,.2937334,69305,53291,75248
Colbert County,01033,01033,AL,Alabama,.1380846,NULL,.1396396,14627,NULL,14627,.0967742,n/a**,.0967742,NULL,NULL,NULL,127,NULL,127,.8127232,.8472018,.8044364,.2134141,59835,44546,63456
Conecuh County,01035,01035,AL,Alabama,.0986842,NULL,NULL,NULL,NULL,NULL,.2666667,n/a**,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8927441,.9033375,.8838226,.4986415,41773,33909,49170
Coosa County,01037,01037,AL,Alabama,.1282051,NULL,.1052632,NULL,NULL,NULL,.2,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8842041,.9014344,.8757032,.3473975,55936,36631,64433
Covington County,01039,01039,AL,Alabama,.112605,NULL,.1135593,19761,NULL,19761,.1492537,n/a*,.1492537,NULL,NULL,NULL,NULL,NULL,NULL,.8505182,.9246894,.8378223,.1661267,55315,35546,58671
Crenshaw County,01041,01041,AL,Alabama,.0938776,NULL,.0940171,NULL,NULL,NULL,.0434783,n/a**,.0454545,NULL,NULL,NULL,NULL,NULL,NULL,.8444445,.8971193,.8243359,.2882077,58669,46587,63517
Cullman County,01043,01043,AL,Alabama,.1019986,NULL,.1034965,15886,NULL,15886,.1621622,n/a**,.1621622,NULL,NULL,NULL,126,NULL,126,.8789588,.894127,.8779025,n/a**,67585,53808,68616
Dale County,01045,01045,AL,Alabama,.1236842,NULL,.1227831,15374,NULL,15926,.106383,n/a**,.1111111,NULL,NULL,NULL,125,NULL,134,.8295488,.8525677,.8209808,.3096132,59184,46012,64312
Dallas County,01047,01047,AL,Alabama,.135182,.1384335,NULL,22169,22169,NULL,.1538461,.1578947,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8488346,.8797332,.782547,.7245997,46049,37377,66094
DeKalb County,01049,01049,AL,Alabama,.0707364,NULL,.0707364,7746,NULL,7746,.0821918,n/a**,.0821918,NULL,NULL,NULL,NULL,NULL,NULL,.8513567,.861495,.8497104,.1987252,57354,40504,60541
Elmore County,01051,01051,AL,Alabama,.1591775,NULL,.160901,16838,NULL,16634,.0956938,n/a**,.095,NULL,NULL,NULL,158,NULL,156,.7474865,.7774611,.7379726,.2700795,70961,55703,74897
Escambia County,01053,01053,AL,Alabama,.1316212,NULL,.1179625,13889,NULL,NULL,.097561,n/a**,0,NULL,NULL,NULL,90,NULL,NULL,.8734065,.9248567,.8432499,.3977711,47508,33369,56183
Etowah County,01055,01055,AL,Alabama,.0996217,NULL,.0999363,16497,NULL,16047,.0886076,n/a**,.089172,NULL,NULL,NULL,142,NULL,142,.8011882,.8669469,.7864251,.2231393,63046,41018,68070
Fayette County,01057,01057,AL,Alabama,.0755396,NULL,.0755396,NULL,NULL,NULL,.2857143,n/a**,.2857143,NULL,NULL,NULL,NULL,NULL,NULL,.8706154,.9335347,.8602663,.1533313,52024,33228,54879
Franklin County,01059,01059,AL,Alabama,.0702576,NULL,.0569395,NULL,NULL,NULL,.1,n/a**,.0625,NULL,NULL,NULL,NULL,NULL,NULL,.8712762,.9551519,.8541847,.2291865,52295,48453,52969
Geneva County,01061,01061,AL,Alabama,.1026694,NULL,.1028807,14304,NULL,14304,.16,n/a**,.16,NULL,NULL,NULL,NULL,NULL,NULL,.8890741,.9201444,.8842667,.1606583,49724,37673,51509
Greene County,01063,01063,AL,Alabama,.1401869,.1428571,NULL,NULL,NULL,NULL,.1333333,.1333333,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8990228,.9393806,.7554687,.828507,33639,27844,54643
Hale County,01065,01065,AL,Alabama,.1330472,.104,NULL,NULL,NULL,NULL,.1290323,.1538462,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8589018,.8940363,.8114792,.6038154,49368,34015,70514
Henry County,01067,01067,AL,Alabama,.1392857,NULL,.1412639,NULL,NULL,NULL,.1025641,n/a*,.1052632,NULL,NULL,NULL,NULL,NULL,NULL,.8202515,.8839442,.7951655,.3106167,59476,41650,66263
Houston County,01069,01069,AL,Alabama,.1445087,NULL,.1287129,18502,NULL,17524,.08,n/a**,.0641026,NULL,NULL,NULL,163,NULL,174,.7914364,.8775289,.7555119,.3371689,66880,43707,76718
Jackson County,01071,01071,AL,Alabama,.0977881,NULL,.0977881,10610,NULL,10610,.1190476,n/a**,.1190476,NULL,NULL,NULL,88,NULL,88,.8581598,.8845832,.8553421,.1066726,52230,45728,52844
Jefferson County,01073,01073,AL,Alabama,.1802951,.191035,.1654398,21782,18976,22993,.1161563,.1818182,.0608899,10210,10115,9640,159,133,176,.664996,.7775187,.5645358,.50403,78690,53188,102206
Lamar County,01075,01075,AL,Alabama,.076555,NULL,.076555,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8751643,.8880658,.8733579,.140099,51320,39322,53269
Lauderdale County,01077,01077,AL,Alabama,.1577135,NULL,.1585873,16973,NULL,16973,.1266375,n/a**,.1266376,NULL,NULL,NULL,132,NULL,132,.7578063,.8201185,.747973,.1548595,69253,45875,72977
Lawrence County,01079,01079,AL,Alabama,.0706522,NULL,.0683112,NULL,NULL,NULL,.1538462,n/a*,.1666667,NULL,NULL,NULL,NULL,NULL,NULL,.8829665,.8478218,.8928102,.2345724,58594,56670,59126
Lee County,01081,01081,AL,Alabama,.1864407,NULL,.1637228,23531,NULL,23072,.069378,n/a*,.06639,NULL,NULL,NULL,185,NULL,189,.6570817,.7766162,.6037381,.3252389,73270,39833,90617
Limestone County,01083,01083,AL,Alabama,.1572815,NULL,.1374893,18532,NULL,15469,.0987654,n/a**,.0931677,NULL,NULL,NULL,159,NULL,140,.7181405,.7636493,.706079,.2388899,76168,64520,78872
Lowndes County,01085,01085,AL,Alabama,.1273885,.1376147,NULL,NULL,NULL,NULL,.15,.1333333,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8588436,.9138737,.7120582,.7552755,47366,36921,79432
Macon County,01087,01087,AL,Alabama,.2527881,.2623762,.2333333,29718,37288,NULL,.1764706,.1698113,.2142857,NULL,NULL,NULL,NULL,NULL,NULL,.7931603,.7993942,.7654709,.8440223,48702,46943,57195
Madison County,01089,01089,AL,Alabama,.1849349,.2195467,.1784456,20939,20913,20965,.1096257,.2387097,.0824623,11705,NULL,11590,160,128,161,.564934,.6378291,.5310685,.3542081,85717,62039,98085
Marengo County,01091,01091,AL,Alabama,.1698113,.2075472,NULL,20822,NULL,NULL,.0925926,.0909091,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8458922,.8872604,.8002179,.5500563,50946,38655,66393
Marion County,01093,01093,AL,Alabama,.0991189,NULL,.0991189,NULL,NULL,NULL,.1333333,n/a**,.1333333,NULL,NULL,NULL,NULL,NULL,NULL,.8685961,.914145,.8653489,.0802937,50337,49559,50388
Marshall County,01095,01095,AL,Alabama,.0902826,NULL,.0902826,14124,NULL,14124,.091603,n/a**,.091603,NULL,NULL,NULL,85,NULL,85,.7736934,.8374558,.7636213,.1979731,63466,46198,66156
Mobile County,01097,01097,AL,Alabama,.19017,.1882606,.1840332,17920,18752,16930,.1626409,.243346,.1253521,10417,7592,13506,144,143,142,.7770466,.834645,.7383627,.4361715,60779,43662,73537
Monroe County,01099,01099,AL,Alabama,.1024096,NULL,.0793651,NULL,NULL,NULL,.1764706,n/a*,.1,NULL,NULL,NULL,NULL,NULL,NULL,.8591759,.913078,.8190949,.4566289,45863,31414,57981
Montgomery County,01101,01101,AL,Alabama,.2061679,.1990714,.2094488,28372,29289,27373,.1495845,.1895044,.0977444,13853,12330,NULL,178,174,231,.6868623,.7686126,.5520923,.6671155,74318,55174,106370
Morgan County,01103,01103,AL,Alabama,.1123934,NULL,.1071429,19663,NULL,20337,.1473214,n/a**,.1410256,NULL,NULL,NULL,131,NULL,140,.7415454,.8494385,.715629,.2477223,70726,48626,76524
Perry County,01105,01105,AL,Alabama,.147541,.147541,NULL,NULL,NULL,NULL,.2222222,.2222222,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8429922,.8638557,.7992545,.705039,33680,30170,40338
Pickens County,01107,01107,AL,Alabama,.102649,.1025641,.0873016,NULL,NULL,NULL,.0967742,.125,.0909091,NULL,NULL,NULL,NULL,NULL,NULL,.8654995,.9225087,.8212849,.4617696,54603,31296,71283
Pike County,01109,01109,AL,Alabama,.1573276,NULL,.1689189,22182,NULL,NULL,.1232877,n/a**,.08,NULL,NULL,NULL,NULL,NULL,NULL,.7644615,.872447,.691188,.4382241,54193,35222,68312
Randolph County,01111,01111,AL,Alabama,.1079545,NULL,.1079545,NULL,NULL,NULL,.1578947,n/a**,.1578947,NULL,NULL,NULL,NULL,NULL,NULL,.8506799,.9256777,.8297716,.2473199,56137,39182,60701
Russell County,01113,01113,AL,Alabama,.1925926,.2370518,.0909091,19413,18968,NULL,.1868132,.2184874,.2,NULL,NULL,NULL,161,177,NULL,.8347112,.8343893,.8350259,.5301049,53747,50708,56950
St. Clair County,01115,01115,AL,Alabama,.1435679,NULL,.1433666,20558,NULL,20398,.0594059,n/a*,.0597015,NULL,NULL,NULL,156,NULL,156,.8130496,.8898848,.8019716,.1439847,69677,68543,69816
Shelby County,01117,01117,AL,Alabama,.1805515,NULL,.1807017,24085,NULL,24052,.0771704,n/a**,.0776699,NULL,NULL,NULL,176,NULL,175,.5926206,.6518103,.5769892,.2252546,96481,82952,99818
Sumter County,01119,01119,AL,Alabama,.150838,.150838,NULL,NULL,NULL,NULL,.1111111,.1111111,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.7817511,.8566541,.5641153,.7534848,38126,28150,69965
Talladega County,01121,01121,AL,Alabama,.1141951,NULL,.1115196,16694,NULL,17184,.2013889,n/a**,.1978022,NULL,NULL,NULL,150,NULL,149,.852741,.9316726,.8108579,.3756326,58110,37290,70377
Tallapoosa County,01123,01123,AL,Alabama,.1394303,NULL,.1464226,15553,NULL,15258,.0860215,n/a*,.0795455,NULL,NULL,NULL,132,NULL,132,.8165279,.9324465,.774027,.3109558,56874,35015,64899
Tuscaloosa County,01125,01125,AL,Alabama,.1547315,NULL,.1338432,23318,NULL,21112,.1177686,n/a*,.0666667,13312,NULL,NULL,152,NULL,150,.7007852,.7992195,.6461487,.3877967,71000,51702,81445
Walker County,01127,01127,AL,Alabama,.0806452,NULL,.0796731,21423,NULL,22065,.1375,n/a**,.1410256,NULL,NULL,NULL,142,NULL,145,.8798901,.8792946,.8799545,.1164948,64412,32725,67507
Washington County,01129,01129,AL,Alabama,.1286765,.1587302,.112426,NULL,NULL,NULL,.1428571,.1,.2105263,NULL,NULL,NULL,NULL,NULL,NULL,.8887436,.901155,.8827782,.3489755,54475,47734,57929
Wilcox County,01131,01131,AL,Alabama,.1526316,.1546961,NULL,NULL,NULL,NULL,.0689655,.0714286,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8749306,.9291211,.7568402,.7316126,42007,32678,64477
Winston County,01133,01133,AL,Alabama,.0645161,NULL,.0645161,NULL,NULL,NULL,.0833333,n/a**,.0833333,NULL,NULL,NULL,NULL,NULL,NULL,.8646415,.8610422,.8648187,.0606073,51630,30109,52536
Aleutians East Borough,02013,02013,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a*,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8725825,.9009991,.7287356,.8496351,81570,77156,98366
Aleutians West Census Area,02016,02016,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a*,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8356465,.8626785,.767382,.7584348,101440,85381,130996
Anchorage Municipality,02020,02020,AK,Alaska,.1485466,NULL,.1348315,18404,NULL,18844,.1171032,n/a**,.0882353,10032,NULL,NULL,175,NULL,183,.6245875,.7657049,.5431669,.4289561,106660,83735,118821
Bethel Census Area,02050,02050,AK,Alaska,.1421053,.1421053,NULL,NULL,NULL,NULL,.2592593,.2592593,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8766146,.9511073,.4413013,.9005543,70334,60184,125901
Bristol Bay Borough,02060,02060,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a**,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.7767442,.8834586,.701847,.4606742,99525,80506,114194
Denali Borough,02068,02068,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a**,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.5646471,.5945017,.5580152,.1890681,91022,86479,91777
Dillingham Census Area,02070,02070,AK,Alaska,.06,.06,NULL,NULL,NULL,NULL,0,0,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8073742,.909894,.4435737,.8414071,72873,64667,110007
Fairbanks North Star Borough,02090,02090,AK,Alaska,.131815,NULL,.1337209,19293,NULL,18750,.104712,n/a*,.1217391,NULL,NULL,NULL,166,NULL,145,.7100898,.7744465,.6857074,.307777,98389,84351,103698
Haines Borough,02100,02100,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a**,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.6255342,.7703488,.5929319,.2220016,76564,56393,79620
Juneau City and Borough,02110,02110,AK,Alaska,.1269841,NULL,.1264637,16928,NULL,21072,.09375,n/a**,.0925926,NULL,NULL,NULL,160,NULL,NULL,.6050091,.7826802,.5297917,.3497371,107563,102216,109262
Kenai Peninsula Borough,02122,02122,AK,Alaska,.1168057,NULL,.1144945,19941,NULL,19941,.1020408,n/a*,.0957447,NULL,NULL,NULL,145,NULL,145,.7671624,.8600629,.749742,.1935074,84549,72522,86455
Ketchikan Gateway Borough,02130,02130,AK,Alaska,.139738,NULL,.1407767,NULL,NULL,NULL,.09375,n/a**,.0689655,NULL,NULL,NULL,NULL,NULL,NULL,.755428,.8108291,.7307169,.3597508,86145,66257,94366
Kodiak Island Borough,02150,02150,AK,Alaska,.0851064,NULL,NULL,NULL,NULL,NULL,.125,n/a*,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.7398679,.8640116,.6303043,.5052385,90125,76053,99514
Kusilvak Census Area,02158,02158,AK,Alaska,.0625,.0625,NULL,NULL,NULL,NULL,.5,.5,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.9518622,.9790362,.5875912,.9636497,46732,44943,100994
Lake and Peninsula Borough,02164,02164,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a*,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8423529,.9628433,.5194805,.7781818,60837,50630,94013
Matanuska-Susitna Borough,02170,02170,AK,Alaska,.1396648,NULL,.1378641,17391,NULL,16925,.135,n/a*,.1267606,NULL,NULL,NULL,132,NULL,132,.7707047,.8664395,.7512506,.2126847,91159,76972,93141
Nome Census Area,02180,02180,AK,Alaska,.1058824,.1058824,NULL,NULL,NULL,NULL,.1111111,.1111111,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8540639,.9467865,.4991181,.8524937,73589,62865,115480
North Slope Borough,02185,02185,AK,Alaska,.0813954,.0823529,NULL,NULL,NULL,NULL,0,0,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.834255,.9195402,.7190322,.6893947,93624,89451,134043
Northwest Arctic Borough,02188,02188,AK,Alaska,.1081081,.1081081,NULL,NULL,NULL,NULL,0,0,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.883182,.9541441,.5140741,.8911301,80250,71350,120913
Petersburg Borough,02195,02195,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a*,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.7241218,.8622951,.6688524,.3701997,87391,65030,95701
Prince of Wales-Hyder Census Area,02198,02198,AK,Alaska,.0769231,NULL,NULL,NULL,NULL,NULL,.8,n/a*,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8240161,.903758,.748035,.5464936,66830,58153,73793
Sitka City and Borough,02220,02220,AK,Alaska,.0808824,NULL,.0808824,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.6737219,.8449612,.5870525,.3809796,89940,73292,96949
Southeast Fairbanks Census Area,02240,02240,AK,Alaska,.0982143,NULL,.0724638,NULL,NULL,NULL,.1818182,n/a*,.2,NULL,NULL,NULL,NULL,NULL,NULL,.8089787,.91,.7834036,.2574171,80274,52381,87622
Valdez-Cordova Census Area,02261,02261,AK,Alaska,.0740741,NULL,.0810811,NULL,NULL,NULL,.1,n/a**,.1111111,NULL,NULL,NULL,NULL,NULL,NULL,.6935808,.8477342,.6405405,.3035158,95129,88759,97165
Yakutat City and Borough,02282,02282,AK,Alaska,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a**,n/a**,NULL,NULL,NULL,NULL,NULL,NULL,.8004435,.9285714,.657277,.5761974,73088,67086,79408
Yukon-Koyukuk Census Area,02290,02290,AK,Alaska,.06,NULL,NULL,NULL,NULL,NULL,.3333333,n/a*,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8662236,.940902,.6501687,.7857803,53907,46607,81391
Apache County,04001,04001,AZ,Arizona,.13732,.1598793,.0753425,12055,11734,NULL,.2419355,.2641509,.0909091,NULL,NULL,NULL,89,85,NULL,.8838163,.9266503,.7268308,.8190147,42002,35472,61437
Cochise County,04003,04003,AZ,Arizona,.1064748,.0695652,.1011905,16611,NULL,19419,.0810811,.0416667,.0882353,NULL,NULL,NULL,140,NULL,156,.781648,.8321382,.7490853,.4539796,64549,55008,70156
Coconino County,04005,04005,AZ,Arizona,.1741071,.1217391,.185214,19492,11877,20359,.0883191,.1964286,.0546218,NULL,NULL,NULL,159,NULL,161,.6400815,.8549284,.4846833,.4627592,78885,60569,89756
Gila County,04007,04007,AZ,Arizona,.0806452,NULL,.0673267,21008,NULL,NULL,.1692308,n/a*,.1176471,NULL,NULL,NULL,NULL,NULL,NULL,.8145039,.913867,.772016,.3757491,55246,50029,57312
Graham County,04009,04009,AZ,Arizona,.100616,.1282051,.0949367,NULL,NULL,NULL,.0612245,.1,0,NULL,NULL,NULL,NULL,NULL,NULL,.8470953,.921949,.7838664,.4908524,59370,53287,63213
Greenlee County,04011,04011,AZ,Arizona,.0884956,NULL,NULL,NULL,NULL,NULL,.2,n/a*,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8809404,.9223839,.8419681,.5292509,71773,62694,80624
La Paz County,04012,04012,AZ,Arizona,.0522648,.0481928,.0744681,NULL,NULL,NULL,.0666667,.125,0,NULL,NULL,NULL,NULL,NULL,NULL,.8760528,.9030514,.8630265,.4216222,46901,50951,45180
Maricopa County,04013,04013,AZ,Arizona,.1641422,.15347,.1603169,18751,14416,20421,.1178636,.1654779,.0923715,11392,8996,12121,150,114,162,.6678787,.7768391,.600536,.452454,89077,73227,97539
Mohave County,04015,04015,AZ,Arizona,.0849165,NULL,.0851319,18183,NULL,17943,.1627119,n/a*,.1584507,NULL,NULL,NULL,148,NULL,146,.8567741,.8452212,.859463,.2314436,57206,62914,56065
Navajo County,04017,04017,AZ,Arizona,.0981308,.1258065,.0739762,15640,15397,23168,.2585034,.3333333,.1071429,NULL,NULL,NULL,120,NULL,NULL,.8573768,.9345251,.7706006,.5839649,53791,40799,65010
Pima County,04019,04019,AZ,Arizona,.1447685,.1382603,.141548,17154,14225,18429,.1354344,.1546547,.1224847,11262,11351,10839,140,116,157,.6845955,.7985831,.6038992,.4872853,73423,60744,81519
Pinal County,04021,04021,AZ,Arizona,.1562952,.1083032,.1586439,19393,19930,19205,.1037037,.1666667,.0978793,11601,NULL,11751,133,NULL,143,.8034257,.8785877,.7601432,.4343245,69864,61635,73791
Santa Cruz County,04023,04023,AZ,Arizona,.0860849,.0916784,.0673077,12107,9736,NULL,.1232877,.1230769,.1428571,NULL,NULL,NULL,NULL,NULL,NULL,.7899959,.8551511,.5372287,.8512794,59164,54093,76890
Yavapai County,04025,04025,AZ,Arizona,.0864319,NULL,.0868799,19822,NULL,19822,.1082621,n/a**,.1072464,NULL,NULL,NULL,154,NULL,154,.7362621,.8638453,.7142041,.196424,65373,53270,67165
Yuma County,04027,04027,AZ,Arizona,.0878661,.0865591,.0467033,14831,14417,NULL,.1282051,.136646,.1176471,NULL,NULL,NULL,135,135,NULL,.8318223,.8558373,.7928484,.6961269,59035,56459,62786
Arkansas County,05001,05001,AR,Arkansas,.0989011,NULL,.0989011,NULL,NULL,NULL,.1111111,n/a**,.1111111,NULL,NULL,NULL,NULL,NULL,NULL,.8447668,.9524686,.8066616,.2995476,57077,35066,65095
Ashley County,05003,05003,AR,Arkansas,.1831395,NULL,.1920732,19689,NULL,19689,.1269841,n/a*,.1269841,NULL,NULL,NULL,NULL,NULL,NULL,.8680735,.9467213,.8374552,.3194722,55565,30483,66343
Baxter County,05005,05005,AR,Arkansas,.1113924,NULL,.1105332,16324,NULL,16405,.125,n/a**,.1294118,NULL,NULL,NULL,111,NULL,111,.8166593,.8107725,.816934,.0511172,57247,66606,56875
Benton County,05007,05007,AR,Arkansas,.1436515,NULL,.1381648,17210,NULL,15918,.1096774,n/a**,.1169811,8604,NULL,9015,151,NULL,137,.6681778,.7142297,.6545887,.271254,97031,92045,98223
Boone County,05009,05009,AR,Arkansas,.1214058,NULL,.125,14778,NULL,15681,.131579,n/a**,.12,NULL,NULL,NULL,125,NULL,125,.8402759,.887763,.837806,.0597511,58658,61653,58510
Bradley County,05011,05011,AR,Arkansas,.1455696,NULL,NULL,NULL,NULL,NULL,.173913,n/a**,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8476114,.9481779,.7808128,.4433686,54378,35100,68779
Calhoun County,05013,05013,AR,Arkansas,.0909091,NULL,.0980392,NULL,NULL,NULL,.2,n/a*,.2,NULL,NULL,NULL,NULL,NULL,NULL,.8794667,.9208145,.8667132,.2743176,57517,36833,64700
Carroll County,05015,05015,AR,Arkansas,.0665138,NULL,.0665138,NULL,NULL,NULL,.0344828,n/a**,.0344828,NULL,NULL,NULL,NULL,NULL,NULL,.7956327,.8346817,.7890258,.1997346,58830,42405,61189
Chicot County,05017,05017,AR,Arkansas,.1918605,.2261905,NULL,NULL,NULL,NULL,.2424242,.3157895,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8525309,.8918338,.8032345,.6100129,53248,44911,65767
Clark County,05019,05019,AR,Arkansas,.1348684,NULL,.1422414,NULL,NULL,NULL,.1219512,n/a**,.1212121,NULL,NULL,NULL,NULL,NULL,NULL,.7235674,.7900422,.6966628,.3111905,54268,41493,59812
Clay County,05021,05021,AR,Arkansas,.1283186,NULL,.1283186,NULL,NULL,NULL,.1034483,n/a**,.1034483,NULL,NULL,NULL,NULL,NULL,NULL,.8839539,.984,.8802782,.0448841,46074,40039,46297
Cleburne County,05023,05023,AR,Arkansas,.1041215,NULL,.1041215,NULL,NULL,NULL,.1041667,n/a**,.1041667,NULL,NULL,NULL,NULL,NULL,NULL,.8509197,.8950472,.84883,.0525961,59787,41796,60438
Cleveland County,05025,05025,AR,Arkansas,.1637931,NULL,.1652174,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8384832,.8124118,.8421897,.1540238,57182,34629,60634
