id,state,abbr,perc_debt_collect,med_debt_collect,perc_debt_med,med_debt_med,perc_debt_collect_nw,med_debt_collect_nw,perc_debt_med_nw,med_debt_med_nw,perc_debt_collect_wh,med_debt_collect_wh,perc_debt_med_wh,med_debt_med_wh,perc_pop_nw,perc_pop_no_ins,perc_pop_no_ins_wh,perc_pop_no_ins_nw,avg_income,avg_income_wh,avg_income_nw
23,Maine,ME,0.18606643,393.9230029,0.030386993,625.3991455,n<50,n<50,n<50,n<50,0.161931835,1388.618216,0.008469849,260.9370444,0.039597742,0.041502869,0.047365155,0.120765915,37994.88154,20890.48058,16974.27592
24,Maryland,MD,0.113113965,844.2918084,0.156306352,72.09821831,0.383929833,30.87799069,0.095537136,350.8843803,0.238064793,987.7374341,0.143205181,415.4277001,0.400187763,0.06170029,0.008770357,0.060337142,83019.55643,111644.1201,11167.40458
25,Massachusetts,MA,0.087893492,656.3377104,0.051016284,339.1398249,0.411118735,396.779974,0.067394435,123.0544638,0.182517849,492.6094145,0.042664257,171.8160685,0.21318252,0.015716153,0.00232078,0.042547276,20386.93168,78521.79925,17506.25461
26,Michigan,MI,0.294586296,382.2885706,0.005654078,286.2862954,0.224077809,656.126372,0.007820008,276.1259974,0.18755361,756.5423186,0.158087358,89.95649634,0.058826808,0.001838389,0.009464209,0.078545979,11298.32573,51953.55729,12333.99912
27,Minnesota,MN,0.130942394,943.7824801,0.013846523,189.6228179,0.098438345,704.2793182,0.010400919,137.0180775,0.019770039,1125.386502,0.024838009,153.2434636,0.167275952,0.035551981,0.008702078,0.0828327,15212.1905,45181.27454,22274.74206
28,Mississippi,MS,0.366482805,1397.341892,0.194288531,55.43035149,0.257995411,886.5111972,0.147647634,574.5635669,0.129991835,728.0695382,0.186779352,523.0104889,0.192421907,0.012617516,0.00570019,0.018511208,450.6243556,39405.60995,38611.67997
29,Missouri,MO,0.318178156,183.5406059,0.107072376,325.6908473,0.190201963,777.077423,0.004730569,186.1192468,0.193734365,1124.759494,0.153623939,90.52964992,0.111376631,0.055726537,0.058590983,0.058536097,27225.90807,71290.51095,42115.40962
30,Montana,MT,0.111777603,1255.628337,0.067414175,69.5387626,0.261530263,311.0974438,0.095044719,121.3545092,0.077796297,624.7082755,0.038783938,739.3095262,0.074815306,0.073018935,0.079740623,0.157424324,61822.91671,48877.83618,26994.6559
31,Nebraska,NE,0.114888785,621.9066913,0.088255981,424.2554623,0.392119512,396.8212963,0.030585648,106.5161885,0.173263399,151.9029108,0.033429211,11.81900822,0.084379443,0.033677734,0.029622903,0.081624294,13682.97765,41414.04934,21971.38223
32,Nevada,NV,0.312326537,170.4899566,0.051795842,5.922378572,0.179974031,1541.374786,0.082482053,100.9584655,0.120764074,201.8920856,0.08329854,147.8362853,0.293145641,0.051924694,0.041150105,0.130769071,24610.49163,25845.55514,15115.03397
33,New Hampshire,NH,0.008227905,448.7887364,0.028243134,9.993004601,n<50,n<50,n<50,n<50,0.145593008,26.92229969,0.062605802,253.4810059,0.047809231,0.060356933,0.048845434,0.071194146,49947.71785,68887.71084,21548.28537
34,New Jersey,NJ,0.265475381,1015.296199,0.022832194,398.9552146,0.409974672,63.97552417,0.098266678,45.08449556,0.116928535,1031.872976,0.040277496,65.80912961,0.160043126,0.059040149,0.005285135,0.086212409,68406.84233,74102.25452,34769.09698
35,New Mexico,NM,0.201084917,1023.693504,0.199653534,63.20270251,0.10218142,12.6447824,0.124759507,285.7303036,0.099532394,755.2495057,0.008788406,205.0052864,0.104559056,0.056313848,0.059623188,0.065994368,62304.67971,7939.743026,51991.356
36,New York,NY,0.210049283,269.3732468,0.015569776,172.5975893,0.127898774,1118.831241,0.054940544,361.814699,0.013558275,1390.341755,0.082276166,71.89886105,0.136948631,0.021313895,0.007857626,0.063396168,77883.7123,100921.6117,7247.266192
37,North Carolina,NC,0.158021122,86.94771349,0.209243278,622.1021268,0.230981238,1043.605002,0.105382888,441.781828,0.168316041,71.52563612,0.215400797,179.6039624,0.347770928,0.092724123,0.049567452,0.052505963,64623.20624,34165.92261,11152.49308
38,North Dakota,ND,0.134822799,275.6912939,0.068936461,417.566057,0.499661504,121.4287233,0.18714323,16.46907905,0.08305336,1522.728448,0.043623374,116.2525792,0.041052438,0.040754762,0.025308214,0.148587224,16380.16997,23053.15986,52222.53789
39,Ohio,OH,0.028869618,1184.305922,0.175591496,171.3510156,0.329415768,365.7193925,0.249682697,192.2158269,0.097851814,278.9022908,0.0866804,370.2458136,0.043193304,0.009719127,0.031384192,0.049308893,59763.55172,17206.06906,38819.20084
40,Oklahoma,OK,0.177701165,1120.901082,0.048538678,85.95304337,0.324436515,259.6496583,0.238017529,66.96813376,0.101651093,794.6590791,0.221962023,154.7718487,0.209619134,0.114545304,0.09533539,0.187668905,29775.13658,25508.94292,40850.74433
41,Oregon,OR,0.074518407,1270.420368,0.017586385,606.0564068,0.338720665,n<50,0.054237445,n<50,0.188263468,402.9311952,0.004894546,389.3839398,0.074562805,0.010128039,0.014528405,0.076032627,2587.020102,36767.62644,59139.56945
42,Pennsylvania,PA,0.047582332,1105.30119,0.034032329,486.8296348,0.429113934,430.4509188,0.119265657,156.0774514,0.149734913,1048.80503,0.020184289,65.67381952,0.086702945,0.035133381,0.012660491,0.061241692,74088.47431,7191.755005,7734.792904
44,Rhode Island,RI,0.026825642,1308.5447,0.071491967,471.2623132,0.29089,1088.552078,0.129912409,67.18288514,0.164434982,158.9363983,0.05010893,369.2683834,0.035509871,0.027775,0.031257789,0.088157589,44855.46792,54718.93658,39985.35633
45,South Carolina,SC,0.027603805,1128.296315,0.000665782,62.13776699,0.021683002,757.741598,0.028175282,621.3715768,0.280156763,186.2986138,0.065430674,115.8776757,0.015499747,0.077617067,0.051803441,0.100642144,62107.41609,15610.86982,43809.21155
46,South Dakota,SD,0.143228693,1166.752094,0.01391581,242.8283923,0.406274573,684.1347655,0.105207754,369.8251893,0.062171431,820.884555,0.037728032,172.054375,0.133522396,0.041905127,0.011384454,0.194744279,14489.51583,68129.39378,16185.284
47,Tennessee,TN,0.302755346,948.344087,0.126646932,469.0607868,0.444894411,171.7900683,0.25703937,463.8359093,0.079687942,272.303273,0.102621518,506.2060974,0.022138769,0.012093705,0.05642177,0.100796172,18655.90693,35024.93914,47704.86224
48,Texas,TX,0.105990968,104.1731309,0.057777868,845.4602119,0.071327135,667.1862558,0.27671021,692.4445445,0.103819524,157.0719726,0.062102687,815.2236154,0.564382315,0.027640064,0.053228614,0.028946779,26300.43253,30620.46363,24932.5959
49,Utah,UT,0.033970686,1408.0805,0.034605787,0.362986797,0.274843112,293.3385984,0.27202208,486.451893,0.218587869,1111.785346,0.083113531,783.7505342,0.18408761,0.100849985,0.016590852,0.051654338,69090.34304,52259.91428,17193.80938
50,Vermont,VT,0.03090159,996.6793577,0.020312015,52.61176761,n<50,n<50,n<50,n<50,0.091226746,463.2799723,0.061039114,19.26749239,0.064973301,0.021786198,0.015188236,0.029677821,56458.01484,48107.02349,24429.04111
51,Virginia,VA,0.245901284,404.3934654,0.055277801,483.1565172,0.257269184,161.4366187,0.175269596,216.4813592,0.231256925,689.459782,0.05832917,85.15159234,0.243553597,0.089557832,0.06229762,0.019406232,72978.97706,53586.15742,19037.821
53,Washington,WA,0.018163363,1317.998253,0.030562243,269.8929426,0.203599211,870.9997584,0.003139285,130.1328002,0.119447795,980.570301,0.054920914,177.5686563,0.230559501,0.016102853,0.014343749,0.028103206,84446.18116,13916.86102,54284.77096
54,West Virginia,WV,0.09271873,769.3985504,0.186523354,137.4968388,n<50,n<50,n<50,n<50,0.338887452,456.8532318,0.14918946,234.9574435,0.052458627,0.043589717,0.00272934,0.017534966,31964.91996,37209.55634,31598.74441
55,Wisconsin,WI,0.06057524,687.7908695,0.110509859,246.8499598,0.456066258,1434.018787,0.302552061,249.9297819,0.091451446,536.3392737,0.038035799,547.3793352,0.163694818,0.00863676,0.036669487,0.044909995,15428.32989,33801.05606,4170.89761
56,Wyoming,WY,0.031025106,307.5533513,0.088639149,108.1939386,0.571083806,n<50,0.471629822,n<50,0.12859443,1018.58844,0.141209162,592.2185096,0.106080122,0.024859321,0.096127561,0.152809636,2527.621513,78285.61212,53644.9229
